median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act
57440.0,0.670623145400593,0.344642857142857,0.749379652605459,0.206697459584296,High,Regular School,NC,2016-2017,28056,20.4456654456654
36929.0,0.738664468260511,0.647325475974615,0.62652705061082,0.192794547224927,High,Regular School,FL,2016-2017,34653,21.0805860805861
67259.0,0.518718801996672,0.132325141776938,0.792097836312324,0.0584387265590929,High,Regular School,PA,2016-2017,19030,23.1318681318681
56463.0,0.403190559440559,0.433854907539118,0.721459395841506,0.0901373283395755,High,Regular School,TX,2016-2017,77535,19.8351648351648
44648.0,0.484526558891455,0.678740157480315,0.748670212765957,0.0799220272904483,High,Regular School,OH,2016-2017,44144,20.0
45753.0,0.617966903073286,0.438413361169102,0.615711252653928,0.0805108273181566,High,Regular School,MI,2016-2017,48726,19.6
50554.0,0.552027027027027,0.16452442159383,0.694057226705796,0.0649305555555556,High,Regular School,IN,2016-2017,46777,21.0830280830281
100083.0,0.799043062200957,0.252955082742317,0.760115606936416,0.0232067510548523,High,Regular School,MI,2016-2017,48197,21.6
42024.0,0.61283950617284,0.223255813953488,0.375903614457831,0.103117505995204,High,Regular School,WI,2016-2017,53590,23.1
43366.0,0.396516808424463,0.433207138994051,0.746875,0.102584181675803,High,Regular School,TX,2016-2017,77378,19.957264957265
36120.0,0.636411889596603,0.307788944723618,0.727590221187427,0.0692350642099386,High,Regular School,WI,2016-2017,54501,22.3
43932.0,0.666861826697892,0.726222222222222,0.632034632034632,0.0942075111394017,High,Regular School,FL,2016-2017,33426,17.4175824175824
51742.0,0.559779077322937,0.467741935483871,0.63110667996012,0.0666418466120625,High,Regular School,OH,2016-2017,44505,19.0
19227.0,0.446550416982563,0.670926517571885,0.38353765323993,0.356828193832599,High,Regular School,TN,2016-2017,38106,15.2
39803.0,0.509727626459144,0.393393393393393,0.678343949044586,0.152507676560901,High,Regular School,GA,2016-2017,30161,20.3235653235653
34342.0,0.39099610067352,0.623106060606061,0.495098039215686,0.0832947709393799,High,Regular School,NC,2016-2017,28385,17.7350427350427
57425.0,0.745873648264087,0.35258358662614,0.777426992896606,0.0646227832882477,High,Regular School,TN,2016-2017,37617,19.3
91083.0,0.742926239419589,0.384728882331243,0.914553472987872,0.0583637311099531,High,Regular School,IL,2016-2017,60074,21.3
55087.0,0.658587257617729,0.315338474721508,0.736332179930796,0.16403785488959,High,Regular School,TN,2016-2017,37040,18.6
33814.0,0.438745019920319,0.472081218274112,0.449843260188088,0.106111111111111,High,Regular School,MA,2016-2017,1570,19.981684981685
61250.0,0.597551644988523,0.315789473684211,0.755592377796189,0.0909490333919156,High,Regular School,TX,2016-2017,75489,20.982905982906
43818.0,0.569370111156855,0.382380506091846,0.387956564659427,0.08521906596052,High,Regular School,FL,2016-2017,32757,21.3736263736264
23377.0,0.309121621621622,0.73583640630238,0.383040935672515,0.17686318131257,High,Regular School,FL,2016-2017,33463,16.6361416361416
54571.0,0.477699041267195,0.422018348623853,0.662747979426892,0.0313102119460501,High,Regular School,LA,2016-2017,70360,19.8
49046.0,0.504981497295759,0.418145956607495,0.764563106796116,0.0935379167896135,High,Regular School,GA,2016-2017,30025,19.3223443223443
40465.0,0.348819497334349,0.456140350877193,0.760315533980582,0.0423162583518931,High,Regular School,MO,2016-2017,65542,21.3
37476.0,0.59001747912216,0.460229031259672,0.646944713870029,0.0720290408865113,High,Regular School,FL,2016-2017,32837,20.7875457875458
51875.0,0.515343915343915,0.53742802303263,0.592207792207792,0.0965058236272879,High,Regular School,OH,2016-2017,44813,22.0
38059.0,0.528370957901159,0.763285024154589,0.476635514018692,0.0688599846977812,High,Regular School,OH,2016-2017,43931,21.0
79048.0,0.511880515953836,0.227906976744186,0.911877394636015,0.0634686346863469,High,Regular School,PA,2016-2017,17372,21.0561660561661
111031.0,0.792987883475123,0.0979667282809612,0.907700709994539,0.077081722093323,High,Regular School,NJ,2016-2017,8062,22.3748473748474
32104.0,0.370311252992817,0.476190476190476,0.547008547008547,0.133427963094393,High,Regular School,FL,2016-2017,33880,17.8815628815629
26530.0,0.462949894142555,0.48067569848071656,0.824228028503563,0.168347556245151,High,Regular School,NC,2016-2017,27209,18.6385836385836
33850.0,0.492850333651096,0.383615084525358,0.456418383518225,0.185979971387697,High,Regular School,NC,2016-2017,28301,20.5677655677656
52696.0,0.676996724615772,0.462857142857143,0.691458026509573,0.0919727891156463,High,Regular School,NC,2016-2017,28429,21.7399267399267
33076.0,0.269347168179853,0.79943661971831,0.631194151096669,0.162225338943431,High,Regular School,TX,2016-2017,78221,16.7826617826618
34583.0,0.687821612349914,0.127681307456588,0.885572139303483,0.0570264765784114,High,Regular School,NJ,2016-2017,7054,23.4981684981685
55048.0,0.661753297129558,0.545605306799337,0.947004608294931,0.126141078838174,High,Regular School,NJ,2016-2017,8069,18.4676434676435
41349.0,0.314765985497693,0.318181818181818,0.775694444444444,0.070561797752809,High,Regular School,LA,2016-2017,70633,18.9
34830.0,0.589874593590339,0.467600700525394,0.461608775137112,0.131399317406143,High,Regular School,IL,2016-2017,62812,19.4
56818.0,0.555232558139535,0.418604651162791,0.666666666666667,0.130480167014614,High,Regular School,IL,2016-2017,60929,19.8
56290.0,0.438852813852814,0.379699248120301,0.809462915601023,0.0706297822248381,High,Regular School,OH,2016-2017,45359,22.0
55531.0,0.556918238993711,0.331521739130435,0.72520908004779,0.0918686473807662,High,Regular School,WA,2016-2017,98565,22.3992673992674
82292.0,0.764021887824897,0.100700053850296,0.854651162790698,0.039119804400978,High,Regular School,MI,2016-2017,48152,21.4
16195.0,0.249251817015819,0.904052936311001,0.350210970464135,0.133678756476684,High,Regular School,TX,2016-2017,79905,18.7118437118437
101250.0,0.794853963838665,0.0482093663911846,0.963350785340314,0.0775305096913137,High,Regular School,PA,2016-2017,19006,24.0598290598291
31513.0,0.282403433476395,0.735311227457824,0.477426636568849,0.145052833813641,High,Regular School,TX,2016-2017,78210,16.953601953602
75402.0,0.653696498054475,0.157119476268412,0.914367269267364,0.0965346534653465,High,Regular School,IL,2016-2017,60468,21.0
97083.0,0.877224199288256,0.168273866923819,0.940845070422535,0.0537190082644628,High,Regular School,IL,2016-2017,60062,26.1
47045.0,0.709631728045326,0.99644128113879,0.0506329113924051,0.157769304099142,High,Regular School,PA,2016-2017,19130,14.0964590964591
41232.0,0.377196935556557,0.460992907801418,0.631483166515014,0.127131027764247,High,Regular School,GA,2016-2017,30529,20.2503052503052
78750.0,0.766971982758621,0.125528913963329,0.826392644672796,0.0512195121951219,High,Regular School,IL,2016-2017,62549,22.4
56402.0,0.483539094650206,0.321090047393365,0.563218390804598,0.130784708249497,High,Regular School,MA,2016-2017,2703,20.8852258852259
51732.0,0.68560105680317,0.421329822251481,0.902869757174393,0.184036249564308,High,Regular School,MA,2016-2017,2169,21.1538461538462
44569.0,0.555996472663139,0.626810095159288,0.669603524229075,0.117184083952777,High,Regular School,FL,2016-2017,33462,16.9291819291819
70058.0,0.579789894947474,0.327868852459016,0.779541446208113,0.0747540983606557,High,Regular School,TX,2016-2017,76044,20.2503052503052
31018.0,0.414786967418546,0.462686567164179,0.7400513478819,0.116121758737317,High,Regular School,NC,2016-2017,28635,19.7374847374847
36375.0,0.526428190069407,0.437125748502994,0.837638376383764,0.0582865168539326,High,Regular School,TX,2016-2017,76444,20.6898656898657
77474.0,0.8785084202085,0.344956413449564,0.779935275080906,0.0609996064541519,High,Regular School,WA,2016-2017,98122,24.8656898656899
26992.0,0.398425673630033,0.845098039215686,0.317705735660848,0.257647565704438,High,Regular School,LA,2016-2017,70422,15.9
85905.0,0.67764769942826,0.0687022900763359,0.773645917542441,0.0902234636871508,High,Regular School,MA,2016-2017,1879,22.5946275946276
42212.0,0.596376446904882,0.647761194029851,0.551724137931034,0.048025613660619,High,Regular School,WI,2016-2017,53215,16.9
64151.0,0.843220338983051,0.196735395189003,0.535976505139501,0.102790014684288,High,Regular School,FL,2016-2017,32931,24.5482295482295
32022.0,0.492468134414832,0.511520737327189,0.688235294117647,0.0570613409415121,High,Regular School,KY,2016-2017,42023,18.4
25651.0,0.392894461859979,0.182222222222222,0.448275862068966,0.11969111969112,High,Regular School,NC,2016-2017,27921,20.4945054945055
64031.0,0.710767182559494,0.2325,0.714527027027027,0.0474594213126323,High,Regular School,OH,2016-2017,43016,24.0
43539.0,0.485159817351598,0.265392781316348,0.799694189602447,0.0927654609101517,High,Regular School,IN,2016-2017,46761,19.964590964591
39289.0,0.481214777708203,0.433333333333333,0.595277320153762,0.0700660308143801,High,Regular School,MO,2016-2017,65625,20.4
47649.0,0.342657342657343,0.794285714285714,0.375,0.169437340153453,High,Regular School,NJ,2016-2017,7202,14.1452991452991
49750.0,0.693340794627868,0.515350877192982,0.684975767366721,0.116948092557849,High,Regular School,IL,2016-2017,62801,18.6
61136.0,0.593192868719611,0.379518072289157,0.474550898203593,0.0756598240469208,High,Regular School,NJ,2016-2017,8244,17.5641025641026
38532.0,0.35387811634349,0.83399209486166,0.45643153526971,0.18650461022632,High,Regular School,TX,2016-2017,78721,17.979242979243
39363.0,0.851089588377724,0.424590163934426,0.516806722689076,0.11444921316166,High,Regular School,MI,2016-2017,48124,20.7
51838.0,0.524741506646972,0.203007518796992,0.805947955390335,0.101996527777778,High,Regular School,MI,2016-2017,49328,20.8
29283.0,0.480074142724745,0.441212121212121,0.386243386243386,0.166360294117647,High,Regular School,NC,2016-2017,28401,20.7875457875458
33999.0,0.388021572523418,0.363970588235294,0.516808830908179,0.0725235849056604,High,Regular School,TX,2016-2017,78028,22.0818070818071
39683.0,0.459005066789498,0.530551415797317,0.747519841269841,0.129069103369503,High,Regular School,TN,2016-2017,37327,19.4
51181.0,0.651426174496644,0.234042553191489,0.726577437858509,0.068317285648785,High,Regular School,MI,2016-2017,49106,21.5
51447.0,0.667235494880546,0.487513572204126,0.855932203389831,0.103376623376623,High,Regular School,WA,2016-2017,98520,20.3479853479853
43059.0,0.569116360454943,0.308049535603715,0.739454094292804,0.0671140939597315,High,Regular School,IN,2016-2017,47670,20.5873015873016
37904.0,0.404651162790698,0.428571428571429,0.43134328358209,0.118725868725869,High,Regular School,IL,2016-2017,62557,18.7
46600.0,0.445806768023541,0.304895104895105,0.733870967741935,0.0822368421052632,High,Regular School,PA,2016-2017,16249,21.3003663003663
53427.0,0.789425706472197,0.124340175953079,0.656580937972769,0.0943060498220641,High,Regular School,OH,2016-2017,44139,25.0
72779.0,0.779507785032647,0.194852941176471,0.820079522862823,0.045079980610761,High,Regular School,MI,2016-2017,48160,20.1
71100.0,0.579094076655052,0.217247097844113,0.830769230769231,0.0520751761942052,High,Regular School,TX,2016-2017,77659,20.2747252747253
67465.0,0.562672556598564,0.207109737248841,0.649168399168399,0.117129502337091,High,Regular School,NJ,2016-2017,7506,21.031746031746
30978.0,0.577490774907749,0.99645390070922,0.335884353741497,0.1472326706072,High,Regular School,GA,2016-2017,30349,17.2222222222222
41130.0,0.629051266941662,0.424050632911392,0.685545722713864,0.085177733065057,High,Regular School,NC,2016-2017,28086,21.6422466422466
57833.0,0.721120186697783,0.177149237067361,0.745473908413205,0.0467869222096956,High,Regular School,IL,2016-2017,60172,22.4
33609.0,0.525115664243225,0.947368421052632,0.484988452655889,0.0675834970530452,High,Regular School,GA,2016-2017,31794,18.8583638583639
39219.0,0.51647154914239,0.627054955378112,0.583951762523191,0.173544044483465,High,Regular School,GA,2016-2017,30014,18.2967032967033
34977.0,0.487903225806452,0.681858802502234,0.339731285988484,0.102491772449459,High,Regular School,FL,2016-2017,32807,18.3455433455433
26369.0,0.327303561334087,0.192666666666667,0.0679824561403509,0.153146853146853,High,Regular School,FL,2016-2017,32254,23.5225885225885
28500.0,0.463251670378619,0.725118483412322,0.515397082658023,0.183647798742138,High,Regular School,TX,2016-2017,78872,17.3687423687424
42071.0,0.52757793764988,0.698181818181818,0.409542743538767,0.0348517273005197,High,Regular School,TN,2016-2017,37412,16.5
51218.0,0.351162790697674,0.300275482093664,0.858752166377816,0.0596833130328867,High,Regular School,OH,2016-2017,44606,22.0
25625.0,0.322818791946309,0.674308300395257,0.28673835125448,0.230019493177388,High,Regular School,FL,2016-2017,33610,17.5641025641026
38125.0,0.397365532381998,0.497116493656286,0.72,0.0679963735267452,High,Regular School,GA,2016-2017,30547,20.5921855921856
21717.0,0.268280123583934,0.5,0.407035175879397,0.210730948678072,High,Regular School,TN,2016-2017,38556,18.5
29482.0,0.301932367149758,0.527340129749768,0.447368421052632,0.14669163545568,High,Regular School,IN,2016-2017,46953,19.8131868131868
30345.0,0.397819314641745,0.595744680851064,0.316860465116279,0.184439973172368,High,Regular School,FL,2016-2017,32926,20.006105006105
36573.0,0.251008878127522,0.984924623115578,0.427067669172932,0.090032154340836,High,Regular School,OH,2016-2017,45011,18.0
62019.0,0.432535885167464,0.185185185185185,0.794549266247379,0.039247311827957,High,Regular School,OH,2016-2017,45786,21.0
21139.0,0.940740740740741,0.758064516129032,0.623376623376623,0.168253968253968,High,Regular School,MI,2016-2017,48202,16.3
85038.0,0.784937466014138,0.140657084188912,0.8154296875,0.0384615384615385,High,Regular School,PA,2016-2017,15136,21.6422466422466
37073.0,0.577924217462932,0.343339587242026,0.625935162094763,0.0952203136669156,High,Regular School,TN,2016-2017,37388,22.4
48235.0,0.475933908045977,0.384384384384384,0.841759684832567,0.0807192042846213,High,Regular School,OH,2016-2017,45358,23.0
23644.0,0.612964728312679,0.819230769230769,0.223564954682779,0.0765595463137996,High,Regular School,FL,2016-2017,33135,18.1257631257631
55245.0,0.426768750886148,0.410579345088161,0.700622083981338,0.124881919516342,High,Regular School,FL,2016-2017,34736,20.2503052503052
50888.0,0.497769848349688,0.238502673796791,0.735177865612648,0.0933333333333333,High,Regular School,IN,2016-2017,46567,21.7765567765568
28378.0,0.486166007905138,0.886772486772487,0.37779433681073,0.0884184308841843,High,Regular School,GA,2016-2017,30453,18.6141636141636
47224.0,0.502027276078142,0.437360178970917,0.729055258467023,0.158557046979866,High,Regular School,NC,2016-2017,28092,20.3968253968254
43922.0,0.717627118644068,0.313340227507756,0.651083238312429,0.128841607565012,High,Regular School,NC,2016-2017,28546,18.8095238095238
40563.0,0.495373665480427,0.382575757575758,0.711069418386492,0.0933660933660934,High,Regular School,IL,2016-2017,61434,19.4
56046.0,0.688314944834504,0.178660049627792,0.697515527950311,0.0290782204129107,High,Regular School,PA,2016-2017,15010,22.032967032967
30093.0,0.409512761020882,0.780346820809249,0.538851351351351,0.10958904109589,High,Regular School,TX,2016-2017,79915,15.8058608058608
50935.0,0.524664879356568,0.526690391459075,0.71346853874155,0.0732889158086008,High,Regular School,FL,2016-2017,32725,19.2735042735043
56042.0,0.590751944684529,0.493349455864571,0.592207792207792,0.094747177221404,High,Regular School,NC,2016-2017,28697,20.982905982906
83438.0,0.667396061269147,0.235120303925707,0.590909090909091,0.131803868645974,High,Regular School,NJ,2016-2017,7083,18.8583638583639
55786.0,0.378020975832193,0.0,0.889540566959922,0.0635344367325147,High,Regular School,OH,2016-2017,44402,22.0
66250.0,0.667995217218015,0.458465189873418,0.803141361256544,0.0907127429805616,High,Regular School,TX,2016-2017,75081,21.3492063492064
80505.0,0.780784508440914,0.160087719298246,0.896777442094663,0.0341145833333333,High,Regular School,TX,2016-2017,77498,23.6446886446886
39485.0,0.409782161939992,0.294117647058824,0.626016260162602,0.111053719008264,High,Regular School,OH,2016-2017,45772,20.0
59915.0,0.683286516853933,0.463075586446568,0.831168831168831,0.100414937759336,High,Regular School,OH,2016-2017,44313,21.0
53623.0,0.585509688289806,0.232911392405063,0.748422712933754,0.0625283189850476,High,Regular School,IL,2016-2017,61738,21.3
59461.0,0.683698296836983,0.724201248622842,0.639278557114228,0.0959715639810427,High,Regular School,NY,2016-2017,10468,18.4432234432234
88864.0,0.754798761609907,0.0883720930232558,0.841666666666667,0.0580474934036939,High,Regular School,NJ,2016-2017,7081,21.5934065934066
41085.0,0.360834518729256,0.313199105145414,0.601134215500945,0.0945945945945946,High,Regular School,PA,2016-2017,17724,20.030525030525
24375.0,0.326455416359617,0.572247706422018,0.670745272525028,0.164469554300063,High,Regular School,KY,2016-2017,40962,17.5
32347.0,0.756302521008403,0.293927125506073,0.371031746031746,0.0613656006914434,High,Regular School,MI,2016-2017,48060,19.6
73707.0,0.725631768953069,0.219426974143955,0.854243542435424,0.0801551389786684,High,Regular School,MI,2016-2017,48383,20.3
44663.0,0.538978494623656,0.601941747572815,0.511363636363636,0.103448275862069,High,Regular School,WI,2016-2017,53910,21.0
